Calamity,0
Snowblind,0
Peak of the Mountain,0
Decayed Skull,0
Howl of the West Wind,0
The Ashen Crown,0
Artor's Legacy,0
Fractured Crown,0
Hive Mind,0
Apex of Thought,0
Crest of Unity,0
Prismatic Gaze,0
Boneclamor Barbute,0
Somnia,0
Wraithlord's Harbour,0
Herald of the Scurry,0
Call of the Tundra,0
Paranoia,0
The Kestrel,0
Doublet of Onos Tull,0
Prism Wraps,0
Shroud of Obscurity,0
Urzil's Pride,0
Exsanguinous,0
Yrun's Wisdom,0
Valeroot,0
Elecoe's Abandon,0
Titan Heart,0
Woven Flesh,0
Fundamental Criterion,0
Kermode's Cage,0
Dark Shroud of Cinders,0
Static Shell,0
Aaron's Will,0
Unstable Core,0
Core of the Mountain,0
Wings of Argentus,0
Keeper's Gloves,0
Avarice,0
Stormhide Paws,0
Fighting Chance,0
Riverbend Grasp,0
Swaddling of the Erased,0
Hand of Judgement,0
Boulderfists,0
Liath's Machinations,0
Falcon Fists,0
Li'raka's Claws,0
Wing Guards,0
Burning Avarice,0
Maehlin's Hubris,0
Blood Roost,0
Mortality's Grasp,0
Ravens' Rise,0
Salt the Wound,0
Atrophy,0
Rule of the Simoon,0
Frostbite Shackles,0
Julra's Obsession,0
Sacrificial Embrace,0
Ravenous Void,0
Vipertail,0
Jungle Queen's Chaps of Holding,0
The Scavenger,0
Thorn Slinger,0
Chains of Uleros,0
Communion of the Erased,0
Harbinger of Stars,0
Ward Trail,0
Immolator's Oblation,0
Omen of Thunder,0
Legacy of the Quiet Forest,0
Azurral's Fury,0
Shattered Chains,0
Strands of Souls,0
Lessons of the Metropolis,0
Mourningfrost,0
Advent of the Erased,0
Darkstride,0
Snowdrift,0
Stormtide,0
Eterra's Path,0
Roots of Vithrasil,0
Blood of the Exile,0
Foot of the Mountain,0
Vaion's Chariot,0
Transient Rest,0
Telf'un's Mirage,0
Suloron's Step,0
Stymied Fate,0
Raindance,0
Last Steps of the Living,0
Fiery Dragon Shoes,0
Yulia's Path,0
Taste of Blood,0
Cleaver Solution,0
Beast King,0
Tempest Maw,0
Hakar's Phoenix,0
Pact Severance,0
Undisputed,0
Eulogy of Blood,0
Humming Bee,0
Rainbow Edge,0
Gladiator's Oath,0
Transcriber's Graver,0
Aurelis,0
Apogee of Frozen Light,0
Eye of Reen,0
Chronostasis,0
Renegade's Will,0
Bloodgeon,0
Arek's Bones,0
Drought's Release,0
Jelkhor's Blast Knife,0
Dragorath's Claw,0
Smoke Weaver,0
